szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,kosznojuk.started,kosznojuk.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,26.462728037964553,None,34.43141434015706,None,space,65.45140459900722,34.43141434015706,None,,,,,,,,,,,,,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
gáv,alszo_01,0,0,0,0,,,,,,,,,99.91586183384061,None,105.97277759388089,None,106.96328051015735,109.96474615996704,u,10.98370263306424,106.96312923636287,None,109.94731019763276,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,117.97061112197116,None,118.97407265612856,121.99327914789319,u,4.986749253701419,118.97576108016074,None,121.95471713040024,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,123.98939716350287,None,125.005027173087,128.0244986107573,u,14.829301547724754,125.0050159143284,None,127.98033163277432,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,139.8618179084733,None,140.87796667637303,143.88094108132645,u,7.326792346779257,140.8754362645559,None,143.86297889612615,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,148.2289599380456,None,149.2479796083644,152.2642290177755,u,3.930196126922965,149.2482187100686,None,152.22872792743146,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,153.2018243027851,None,154.21119589498267,157.21337944129482,u,4.486782219726592,154.21129911812022,None,157.19554663449526,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,158.72136888932437,None,159.72766244970262,162.73100791638717,u,5.891382505185902,159.73503451887518,None,162.71311912871897,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,165.66527947364375,None,166.66074938327074,169.66267510456964,u,4.582893207203597,166.6750833345577,None,169.66267510456964,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,171.28803190682083,None,172.29415752366185,175.30719457753003,u,4.422765246592462,172.3071084287949,None,175.30719457753003,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,176.77332720486447,None,177.7857236471027,180.79334980854765,u,3.806505387183279,177.78729544347152,None,180.7737865615636,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,181.63694304181263,None,182.6519911577925,185.663838269189,u,13.949015135411173,182.65294277574867,None,185.62870509922504,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,196.62581149395555,None,197.62701636459678,200.6346241766587,u,4.686180671211332,197.627402914688,None,200.6096519031562,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,202.3444509897381,None,203.35629788367078,206.36296987673268,u,5.53149159392342,203.35798941738904,None,206.34554853197187,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,208.9153788406402,None,209.92690104339272,212.92854903638363,u,10.738111928571016,209.92741572810337,None,212.91002144105732,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,220.69187769014388,None,221.6937310094945,224.6966855409555,u,15.617519125342369,221.70396154001355,None,224.67876814026386,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,237.36242685932666,None,238.373600455001,241.38002143474296,u,4.7855681125074625,238.37561540445313,None,241.36192707158625,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,243.18889700295404,None,244.18808841705322,247.19503191905096,u,7.438731391914189,244.2026186133735,None,247.19503191905096,None,,,,,,,029724,2022_Mar_19_1527,alszo_teszt,2021.1.2,59.981233481800146,
