szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,20.998953151982278,None,28.962159207090735,None,space,34.538432327564806,28.962159207090735,None,,,,,,,,,,,,,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
gáv,alszo_01,0,0,0,0,,,,,,,,,63.52531158225611,None,69.55306767579168,None,70.5247142626904,73.53344658110291,u,4.670796108432114,70.52532153436914,None,73.49907009024173,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,75.23415903514251,None,76.22912147501484,79.23254988715053,u,4.1348748481832445,76.2291011349298,None,79.21435009269044,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,80.4060604609549,None,81.41212801309302,84.41526656690985,u,3.7839088924229145,81.41209274483845,None,84.3967772256583,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,85.2282660822384,None,86.22374292695895,89.2326133325696,u,4.140008633956313,86.22389457374811,None,89.19760612025857,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,90.3894225419499,None,91.3936511115171,94.3986883610487,u,4.346017529722303,91.39422666048631,None,94.38086208561435,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,95.77234566770494,None,96.77195174666122,99.78236536681652,u,4.135788273997605,96.77203683834523,None,99.74730124045163,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,100.93593886354938,None,101.94548346940428,104.94811850367114,u,4.306165145710111,101.94559561833739,None,104.93067165603861,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,106.2814317252487,None,107.28865000139922,110.2981704105623,u,4.019859325606376,107.28814915660769,None,110.26329817529768,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,111.33772236201912,None,112.34316479088739,115.36041900049895,u,4.164284252561629,112.34327071951702,None,115.32173569034785,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,116.5453979424201,None,117.54947753995657,120.56534217251465,u,3.8055496639572084,117.54995170095935,None,120.53016732772812,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,121.39701576763764,None,122.39525746088475,125.39791737543419,u,3.6484387782402337,122.395123292692,None,125.38054796867073,None,470857,2022_Mar_22_1337,alszo_teszt,2021.1.2,59.96031688516293,
