szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,kosznojuk.started,kosznojuk.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,11.95343626034446,None,19.906323592178524,None,space,33.65098328143358,19.906323592178524,None,,,,,,,,,,,,,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
gáv,alszo_01,0,0,0,0,,,,,,,,,53.59706607926637,None,59.633975211530924,None,60.60499751805328,63.61297007231042,u,3.560419437242672,60.60498091042973,None,63.57710405951366,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,64.20698827761225,None,65.21540426630527,None,u,2.515950644388795,65.21760856336914,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,67.76731814467348,None,68.77708266214468,None,u,2.3483741767704487,68.77706823125482,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,71.14938221452758,None,72.15709346025251,None,u,2.4242021723184735,72.15737013262697,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,74.613107226789,None,75.6153304330539,None,u,2.629832590697333,75.61526468605734,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,78.26630861405283,None,79.26819717632607,82.28006447805092,u,3.153383637778461,79.2681578649208,None,82.24567699502222,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,82.45118767558597,None,83.46823505712673,None,u,2.649312237976119,83.46809591236524,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,86.15000920579769,None,87.15856825797819,90.16429316066206,u,3.262238147202879,87.15873887692578,None,90.1295884498395,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,90.46256650891155,None,91.46048599276692,None,u,2.768838038435206,91.46013194182888,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,94.26577803515829,None,95.26847179587931,None,u,2.481077056378126,95.2680287968833,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,97.78297892981209,None,98.78468772983179,None,u,2.5962406650651246,98.78474731883034,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,101.41494192252867,None,102.42454969212413,None,u,2.8443058871198446,102.42496942798607,None,None,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,105.29982154397294,None,106.30350150964223,109.30641583702527,u,3.029959046514705,106.30298511264846,None,109.2872879395727,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,109.37229221267626,None,110.37667101253756,113.37957663158886,u,3.020289199659601,110.37652969057672,None,113.36222085519694,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,113.41785730724223,None,114.42402906557545,117.42932757688686,u,3.1977438889443874,114.42356958286837,None,117.39472021139227,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,117.65225063730031,None,118.65999516081065,121.66319561516866,u,3.8889678157866,118.65991510730237,None,121.645790388342,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,122.57452145265415,None,123.57666441919282,126.57911099120975,u,3.6127203332725912,123.57631721021608,None,126.56154124159366,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,127.23048365418799,None,128.2367987868376,131.24610960646532,u,3.3050517577212304,128.2361169338692,None,131.21071663615294,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
tesilbengecsék,alszo_19,0,18,18,18,,,,,,,,,,,131.57615393144079,None,132.576554322429,135.5802716712933,u,3.8124829723965377,132.5765299394261,None,135.56238904804923,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
fortiklempelesz,alszo_20,0,19,19,19,,,,,,,,,,,136.42378013511188,None,137.42654138458892,140.43010416277684,u,4.418258507037535,137.42632635403425,None,140.41300123534165,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
abalamofálsag,alszo_21,0,20,20,20,,,,,,,,,,,141.87209969898686,None,142.8764582833275,145.8787421984598,u,3.976301224436611,142.87620188877918,None,145.86087294854224,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
sémernyegvőterec,alszo_22,0,21,21,21,,,,,,,,,,,146.89329361985438,None,147.8896810804028,150.89626902900636,u,4.659056415548548,147.88961533340625,None,150.8617574539967,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
hulukatánatalm,alszo_23,0,22,22,22,,,,,,,,,,,152.57360771251842,None,153.5762423817534,156.57947424799204,u,3.932194133521989,153.5762690040283,None,156.56239589024335,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
innécsésziderszil,alszo_24,0,23,23,23,,,,,,,,,,,157.53698781714775,None,158.5430964408908,161.5455495440401,u,4.854128749808297,158.54286648193374,None,161.52821802627295,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
dögeliztetmereni,alszo_25,0,24,24,24,,,,,,,,,,,163.43233595276251,None,164.4597592925187,167.4616764052771,u,4.097042753593996,164.46745119360276,None,167.4437138531357,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
kusztenirselemenég,alszo_26,0,25,25,25,,,,,,,,,,,168.58412847598083,None,169.59102799189276,172.59509957837872,u,4.386925429105759,169.60140836657956,None,172.59509957837872,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
intogszocolarásu,alszo_27,0,26,26,26,,,,,,,,,,,174.01429515122436,None,175.02619971153325,178.02870537503622,u,5.338305618381128,175.033990948461,None,178.01063676923513,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
töminégeveltemérg,alszo_28,0,27,27,27,,,,,,,,,,,180.39732832065783,None,181.4261116963811,184.428560632281,u,4.835587101522833,181.4409300244879,None,184.428560632281,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
igyótanumazálubirc,alszo_29,0,28,28,28,,,,,,,,,,,186.3147542604711,None,187.3427165763918,190.34570697625168,u,5.047642624936998,187.356567670824,None,190.34570697625168,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
polankilimapszilógis,alszo_30,0,29,29,29,,,,,,,,,,,192.44335401733406,None,193.46450402387416,196.4793923285324,u,5.128077264176682,193.4683801732026,None,196.46173394168727,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
elüsekéketésenim,alszo_31,0,30,30,30,,,,,,,,,,,198.6327041236218,None,199.6593434131704,202.68569918861613,u,5.5598518485203385,199.6763496794738,None,202.65953132417053,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
réfjenólpáulatamú,alszo_32,0,31,31,31,,,,,,,,,,,205.26216599345207,None,206.29267639419993,209.29542762925848,u,6.175441226456314,206.2929380137939,None,209.27805381431244,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
vanatyfovagyatázólarka,alszo_33,0,32,32,32,,,,,,,,,,,212.5016097750049,None,213.52744759838095,216.54493188322522,u,6.166393083753064,213.5335499397479,None,216.5268318655435,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
ladatobanrapolsazridant,alszo_34,0,33,33,33,,,,,,,,,,,219.7221645130776,None,220.80319566465914,223.81280113314278,u,6.672917400253937,220.8029872898478,None,223.77753101056442,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
ninolamebefalintelék,alszo_35,0,34,34,34,,,,,,,,,,,227.5013363994658,None,228.56259760954416,231.57887866860256,u,7.457839193986729,228.5624571586959,None,231.54404644458555,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
szikunblómitílaradiga,alszo_36,0,35,35,35,,,,,,,,,,,236.0491376381833,None,237.07896599927915,240.09618965978734,u,8.682213104795665,237.0818478576839,None,240.06081503885798,None,,,,,,,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
,,,,,,,,,,,,,,,,,,,,,,,,,,245.8026989856735,None,space,2.0409917284268886,245.8026989856735,None,483932,2022_Apr_26_1613,alszo_teszt,2021.1.2,59.98037564024808,
