szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,21.930583425273653,None,29.89375577692408,None,space,47.535149140574504,29.89375577692408,None,,,,,,,,,,,,,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
gáv,alszo_01,0,0,0,0,,,,,,,,,77.46441700385185,None,83.48655016737757,None,84.4755374521017,87.49240986065706,u,4.313559058471583,84.47534736432135,None,87.45701689017005,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,88.82491487718653,None,89.82210063207894,92.84576544555603,u,3.686670776165556,89.82210399094038,None,92.79997611459112,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,93.5546026629745,None,94.56634046121034,97.57520909036975,u,3.5984195840428583,94.5663145853323,None,97.5398366463487,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,98.20447284838883,None,99.20530672186287,102.20876226457767,u,3.7917614721809514,99.20500000618631,None,102.1743209771812,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,103.03762413864024,None,104.04067642894806,107.04072768299375,u,4.107964405789971,104.04084244481055,None,107.02305001369677,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,108.17537622578675,None,109.18859535299707,112.19088088534772,u,4.768156309903134,109.18855112773599,None,112.17362805234734,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,113.98823520628503,None,114.98857457773993,118.0016209713649,u,3.4955289554200135,114.98913495114539,None,117.96277923812158,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,118.52807682880666,None,119.53853109887568,122.5407908175257,u,4.130466735223308,119.53845763887512,None,122.5232114266255,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,123.70679451979231,None,124.70539566997904,127.70760656049242,u,5.411364402563777,124.70526591764065,None,127.69043521152344,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,130.1400131120463,None,131.15523948201445,134.1581131296116,u,3.8897845215396956,131.1548170715687,None,134.14018167817267,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,135.0862697629491,None,136.08837970038877,139.0905476718326,u,3.724265991069842,136.08819707675138,None,139.07295926171355,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,139.84164926060475,None,140.85511470575585,143.8577435904299,u,4.398069140734151,140.85468234308064,None,143.84061142837163,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,145.2857941702241,None,146.28827296256787,149.2913854639628,u,4.292681432503741,146.2879177297582,None,149.27373329730472,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,150.60849747271277,None,151.6128320471733,154.62453613220714,u,4.983754520537332,151.61258037987864,None,154.59023728629109,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,156.62731125258142,None,157.64230125683827,160.6578220265219,u,5.033944608352613,157.64253849338274,None,160.62284518417437,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,162.70086142868968,None,163.7049568383489,166.70752258843277,u,4.795833805052098,163.70466442906763,None,166.68921668390976,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,168.5287915241788,None,169.53793396435213,172.54043564689346,u,4.786414941307157,169.53770966571756,None,172.52303943946026,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,174.3661159137264,None,175.37935028034263,178.39165616495302,u,4.352872279123403,175.37923421227606,None,178.3566255182959,None,704497,2022_Apr_12_1354,alszo_teszt,2021.1.2,60.014409324868744,
