szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,Nem,date,expName,psychopyVersion,frameRate,
,,,,,,48.87195143570716,None,56.848455510204076,None,space,20.90417140693171,56.848455510204076,None,,,,,,,,,,,,,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
gáv,alszo_01,0,0,0,0,,,,,,,,,77.78525150791393,None,83.8184191162145,None,84.83621852069045,87.83874028649007,u,5.407809561962495,84.8410554195143,None,87.82154535441077,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,90.28092851638212,None,91.2964955778065,94.3049823876936,u,4.377117877098499,91.31124326126883,None,94.3049823876936,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,95.71670223545516,None,96.71959580962285,99.7212712331966,u,3.88681568444008,96.72990353197383,None,99.7212712331966,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,100.65067304935656,None,101.6527735567317,104.66390482452698,u,4.721450683995499,101.65492015528434,None,104.64444731952972,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,106.40254453147645,None,107.41972789411957,110.42225208577293,u,4.898547474833322,107.4296251188789,None,110.40478160184284,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,112.35364372206095,None,113.37357451687276,116.3885483021295,u,5.12992331199348,113.39017890965624,None,116.37094937248912,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,118.5620361725596,None,119.58921342080285,122.6051357761462,u,4.475232057564426,119.59697807341581,None,122.58744012346142,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,124.10775351857592,None,125.13570828328957,128.14356841491826,u,5.192922049929621,125.15105869752006,None,128.14356841491826,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,130.36691841612628,None,131.3934963546984,134.4046469360037,u,4.949887508919346,131.41007866601285,None,134.4046469360037,None,pilot2,férfi,2022_Feb_09_1726,alszo_teszt,2021.1.2,60.00160483512009,
