szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,kosznojuk.started,kosznojuk.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Résztvevő kódja,Nem,date,expName,psychopyVersion,frameRate,
,,,,,,13.898187640239485,None,21.866858391906135,None,space,10.798606441705488,21.866858391906135,None,,,,,,,,,,,,,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
gáv,alszo_01,0,0,0,0,,,,,,,,,32.706234064884484,None,38.73932858661283,None,39.74987363811815,42.75252552900929,u,6.335862853564322,39.75362711434718,None,42.73507868160959,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,46.11572866048664,None,47.11649945924292,50.11884028138593,u,5.084682738990523,47.11662062734831,None,50.101315060281195,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,52.22340131737292,None,53.27038638837403,56.284492962877266,u,12.978010279359296,53.2870908009354,None,56.284492962877266,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,66.29691798693966,None,67.29344199072803,70.30307094124146,u,5.753975752624683,67.29502955498174,None,70.2673729833914,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,73.0919969920069,None,74.10287208365044,77.11957114678808,u,5.457373748417012,74.10356674797367,None,77.0844015891198,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,79.60093780932948,None,80.61616917023203,83.61827642645221,u,5.805433347239159,80.61947473476175,None,83.60046974441502,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,86.44794993789401,None,87.4494065061328,90.45069954718929,u,4.857838578871451,87.45495131821372,None,90.45069954718929,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,92.34911049006041,None,93.34926767285215,96.35060643171892,u,4.579221463412978,93.34956176066771,None,96.33285915199667,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,97.95184094132856,None,98.96575394527754,101.96876001055352,u,8.771084535866976,98.96574760077056,None,101.95136323524639,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,107.76109500450548,None,108.76561467651045,111.77765081799589,u,5.8829259250778705,108.7656867057085,None,111.7584968553856,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,114.67978730879258,None,115.68241388384486,118.69684415403754,u,7.632872587419115,115.68778080004267,None,118.67746004660148,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,123.34759682102595,None,124.36537576126867,127.368249213323,u,5.8858039799379185,124.36266820016317,None,127.3508309784811,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,130.27372156083584,None,131.28223113644634,134.2845455229981,u,5.702122557791881,131.28227144281846,None,134.2668265447719,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,137.01506671402603,None,138.0151567193563,141.01751122577116,u,5.75237095868215,138.01589305850212,None,140.9995201168349,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,143.79599709645845,None,144.79856053715338,147.80159863608424,u,6.680969755863771,144.79920855048113,None,147.78390889253933,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,151.511869877344,None,152.53175961934028,155.53462405211758,u,6.75883554155007,152.5294090937823,None,155.51710940524936,None,,,,,,,pilot3,nő,2022_Feb_17_1105,alszo_teszt,2021.1.2,59.845703142357515,
