szo,hangfajl,hangok.thisRepN,hangok.thisTrialN,hangok.thisN,hangok.thisIndex,inst_text.started,inst_text.stopped,space_inst.started,space_inst.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fx_cross.started,fx_cross.stopped,sound_1.started,sound_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
,,,,,,10.167441902682185,None,18.139373247046024,None,space,16.301243777386844,18.139373247046024,None,,,,,,,,,,,,,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
gáv,alszo_01,0,0,0,0,,,,,,,,,34.47935631591827,None,40.51006013015285,None,41.4962143657729,44.50626771571115,u,9.560005921404809,41.50492510013282,None,44.489070295821875,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
gyem,alszo_02,0,1,1,1,,,,,,,,,,,51.100137900561094,None,52.0998026042711,55.11364989262074,u,3.7628487702459097,52.10158501425758,None,55.094184923451394,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
Szan,alszo_03,0,2,2,2,,,,,,,,,,,55.886611042078584,None,56.88952296585776,59.90653847809881,u,3.8864098209887743,56.90624053403735,None,59.88883940456435,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
dolk,alszo_04,0,3,3,3,,,,,,,,,,,60.82442029938102,None,61.836256245942785,64.8387990668416,u,4.0437094871886075,61.8365949629806,None,64.82107138028368,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
zomás,alszo_05,0,4,4,4,,,,,,,,,,,65.91982156923041,None,66.92002462535166,69.9294814337045,u,4.736335770227015,66.91991487145424,None,69.91054051090032,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
galonc,alszo_06,0,5,5,5,,,,,,,,,,,71.68079061619937,None,72.68960513346829,75.68998708063737,u,4.822457536589354,72.68973143352196,None,75.67217417852953,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
Gabam,alszo_07,0,6,6,6,,,,,,,,,,,77.55312832212076,None,78.55275290585124,81.5545001719147,u,4.591794837731868,78.56838288391009,None,81.5545001719147,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
ardul,alszo_08,0,7,7,7,,,,,,,,,,,83.19196539372206,None,84.20271965940483,87.20677179517224,u,4.188753628637642,84.20335974218324,None,87.1894331779331,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
tarembik,alszo_09,0,8,8,8,,,,,,,,,,,88.42329675704241,None,89.43538306360134,92.44322357093915,u,5.2598550212569535,89.43608379270881,None,92.42386994231492,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
cselika,alszo_10,0,9,9,9,,,,,,,,,,,94.73405298171565,None,95.75657104067506,98.7727487324737,u,4.459334333892912,95.75662024179474,None,98.7370038125664,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
hübedin,alszo_11,0,10,10,10,,,,,,,,,,,100.24481069948524,None,101.26041013686918,104.27111190464348,u,10.602599517442286,101.27720763348043,None,104.27111190464348,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
vazóga,alszo_12,0,11,11,11,,,,,,,,,,,111.90552024263889,None,112.91949933567085,115.92155294306576,u,7.668722316622734,112.9309238824062,None,115.92155294306576,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
tipebanér,alszo_13,0,12,12,12,,,,,,,,,,,120.63971131155267,None,121.63564704624005,124.63669237028807,u,4.93265494517982,121.65092651965097,None,124.63669237028807,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
limefürék,alszo_14,0,13,13,13,,,,,,,,,,,126.62598348082975,None,127.63553041857668,130.65985458577052,u,4.675566949415952,127.63594284467399,None,130.61586705828086,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
serkápanta,alszo_15,0,14,14,14,,,,,,,,,,,132.35148222651333,None,133.3689103510231,136.37791902991012,u,5.665410407353193,133.36624353192747,None,136.35325434198603,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
berszidelén,alszo_16,0,15,15,15,,,,,,,,,,,139.05771131487563,None,140.08617270942779,143.0878338580951,u,5.673755336087197,140.09371437039226,None,143.07043801574036,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
hápamarogány,alszo_17,0,16,16,16,,,,,,,,,,,145.79731700848788,None,146.8053412580397,149.82155499560758,u,5.472366131842136,146.8070085956715,None,149.78698723576963,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
gyilonitora,alszo_18,0,17,17,17,,,,,,,,,,,152.30214631883428,None,153.32311556460337,156.33857949636877,u,5.564497167710215,153.32324780430645,None,156.3031141711399,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
tesilbengecsék,alszo_19,0,18,18,18,,,,,,,,,,,158.92519358592108,None,159.91925954944455,162.9202212127857,u,6.3611461338587105,159.93475828273222,None,162.9202212127857,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
fortiklempelesz,alszo_20,0,19,19,19,,,,,,,,,,,166.33089670026675,None,167.3265326249879,170.3473781836219,u,7.574848399497569,167.32828082423657,None,170.30229777889326,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
abalamofálsag,alszo_21,0,20,20,20,,,,,,,,,,,174.93287700368091,None,175.93992531471886,178.95307346060872,u,8.863130355719477,175.94398367078975,None,178.9349237382412,None,ss1,2022_Mar_07_1154,alszo_teszt,2021.1.2,60.01134777816961,
